Section Name/Locality,Paleocontinental Region,Formation/Unit/Basin,Locality No,ModernLAT,ModernLONG,LWK ( 375 Ma) Paleocoordinates (Long),LWK Paleocoordinates (Lat),UKW (370 Ma) Paleocoord (Long),UKW (370 Ma) Paleocoord (LAT),LWK or UKW,Rock type during Kelwasser event,Paleo-environment,Primary Lithology (LWK),Primary lithology(UKW),Primary Facies,LKW Numerical Depth,,Proxy,local/global,LKW redox,Degree of anoxia ,UKW Redox,Degree of anoxia (1-5),Color,Depth range of anoxia,References,DOI,
"Chestnut Mound, Tennessee, USA",Euramerica-North America,Chattanooga shale (Appalachian basin),1,36.208,-85.834,,,-35.842,-35.5622,UKW,black shales interbedded with green-gray shales,"shallow continental margin, above storm wavebase",N/A,dark shale,basin,5,5.2,biomarker (C28/C29 sterane ratios); U/Th and V/(V+Ni),local,N/A,#N/A,euxinic,4,black,water column; bottom water,Li et al 2021,https://doi.org/10.1016/j.epsl.2021.116839,
"Smithtown, TN, USA",Euramerica-North America,"Chattanooga shale, Gassoway Member (AB)",2,35.156,-85.923,-36.4771,-38.2234,-36.4771,-38.2234,UKW,black shale,"shallow continental margin, above storm wavebase",N/A,dark shale,basin,5,5.2,sedimentary facies (color and occurance of pyrite),local,N/A,#N/A,anoxic,3,#5C5858,bottom,Over 2002,,
"Norton, Virginia, USA",Euramerica-North America,"chattanooga Shale, Huron shale member (AB)",3,36.934,-82.629,-32.4743,-37.6815,-32.4743,-37.6815,UKW,black shale,"shallow continental margin, above storm wavebase",N/A,dark shale,basin,5,5.2,sedimentary facies (color and occurance of pyrite),local,N/A,#N/A,anoxic,3,#5C5858,bottom,Over 2002,,
"Beaver Meadow Creek, NY, USA",Euramerica-North America,"Hanover shale, Java Formation (appalachian basin)",4,42.67,-78.396,-26.4367,-33.2867,-26.4367,-33.2867,UKW,dark-colored shale ,foreland basin,N/A,dark shale,basin,5,5.2,sedimentary facies (color and occurance of pyrite),local,N/A,#N/A,anoxic,3,#5C5858,bottom,Over 2002,https://doi.org/10.1016/S0031-0182(01)00477-1,
"Delaware, Ohio",Euramerica-North America,"Olentany shale, cincinatti arch",5,40.298,-83.071,-31.341,-34.4255,-31.341,-34.4255,UKW,green-grey shale,epicontinental basin,N/A,siltstone,basin,5,5.2,sedimentary facies (color and occurance of pyrite),local,N/A,#N/A,anoxic,3,#5C5858,bottom,Over 2002,,
"Sweetland Creek, Iowa (Type section)",Euramerica-North America,"Sweetland creek shale, illinois basin",6,41.463,-90.949,-37.1251,-30.8062,-37.1251,-30.8062,UKW,thin green-grey shale,slope ? where the Illinois Basin merges with the Midcontinent Carbonate Shelf ,N/A,dark shale,distal slope,4,4.2,sedimentary facies (color and occurance of pyrite),local,dysoxic,2,anoxic,3,#5C5858,bottom,"Over 2002, Day and Witze 2017",10.1016/bs.sats.2017.08.003,
"Paxton quarry, Alpena, Michigan",Euramerica-North America,"Antrim shale, Michigan basin",7,45.058,-83.62,-29.7578,-29.8412,-29.7578,-29.8412,UKW,calcareous green-grey mudstones,epicontinental basin,N/A,dark shale ,basin,5,5.2,sedimentary facies (color and occurance of pyrite),local,N/A,#N/A,anoxic,3,#5C5858,bottom,Over 2002,,
Oklahoma Aulacogen,Euramerica-North America,"Woodford shale, Southern margin Laurasa",8,34.477,-97.216,-46.6005,-33.8157,-46.6005,-33.8157,UKW,"highly siliceous, cherty, and pyritic black shale",aulacogen,N/A,dark shale,basin,5,5.2,sedimentary facies (color and occurance of pyrite),local,N/A,#N/A,anoxic,3,#5C5858,bottom,Over 2002,,
"Baisha, Guangxi",Central-East Asia,,9,24.64,110.898,107.3299,-0.6764,107.3299,-0.6764,LKW/UKW,argillaceous limestone,ntraplatform basin,N/A,limestone,basin,5,5.2,"d34Spyrite, Fe",local,dysoxic,2,oxic,1,black,bottom,Cui et al 2022,,
"Devil's Gate, central Nevada, USA",Euramerica-North America,Devil's Gate Limestone (Great Basin),10,40.843,-115.777,-55.2451,-19.7899,-55.2451,-19.7899,LKW/UKW,limestone-marl rhythmite,foreland basin,limestone,limestone,basin,5,5.2,"d238U,  sedimentary facies, pyrite framboids",global/local,anoxic,3,euxinic,4,black,bottom,"White et al 2018, bond and Wignall 2005",10.1016/j.epsl.2018.09.020,
"Bruns quarry, Prince creek northeast Iowa",Euramerica-North America,"Lime Creek Formation, Owen member, Iowa basin",11,42.853,-91.405,-36.6684,-29.4321,-36.6684,-29.4321,LKW,carbonate with multiple hardgrounds,carbonate ramp,limestone,N/A,proximal slope,3,3.2,sedimentary facies ,local,dysoxic,2,N/A,#N/A,white,bottom,Day and Witzke 2017,10.1016/bs.sats.2017.08.002,
"Steinbruch Benner, Rhine Slate Mountains, Germany",Euramerica-Western Europe,,12,50.698,8.39,7.1425,-19.5111,7.1425,-19.5111,LKW/UKW,dark grey laminated micrites,submarine rise/seamount?,limestone,limestone,open ocean,1,1.2,"pyrite framboids, sedimentary fabric",local,anoxic,3,anoxic,3,#5C5858,water column; bottom water,Bond et al 2004,10.1017/S0016756804008866,
"Kowala Quarry, Holy Cross Mountains, Poland",Euramerica-Western Europe,Che¸ciny–Zbrza Basin,13,50.872,20.58,28.7317,-16.6934,28.7317,-16.6934,LKW/UKW,"euxinic-dominated deposition in the form of a dark grey, finely laminated micrite bed bounded by dark grey, laminated shales (LKW)/ euxinic facies: finely laminated micrites from the top of the linguiformis Zone, with diagnostic framboid populations ((UKW",expanded base ofslope to basinal succession,limestone,limestone,distal slope,4,4.2,"pyrite framboids, sedimentary fabric, Th/U",local,euxinic,4,euxinic,4,black,water column; bottom water,Bond et al 2004,,
"Psie G´orki, Holy Cross Mountains, Poland",Euramerica-Western Europe,,14,51.012,20.962,28.8473,-16.4376,28.8473,-16.4376,UKW,Finely laminated alternations of dark grey shales and medium grey micrites,forereef,N/A,limestone,open ocean,1,1.2,"pyrite framboids, sedimentary fabric",local,N/A,#N/A,anoxic,3,#5C5858,water column; bottom water,Bond et al 2004,,
"P?ucki, Holy Cross Mountains, Poland",Euramerica-Western Europe,?ysorg´ory–Kostom?oty Basin,15,50.798,21.066,29.0352,-16.57,29.0352,-16.57,UKW,microbial grainstone/biomicrite,intrashelf basin,N/A,limestone,basin,5,5.2,"pyrite framboids, sedimentary fabric",local,N/A,#N/A,anoxic,3,#5C5858,water column; bottom water,Bond et al 2004,,
"Coumiac, France",Euramerica-Western Europe,,16,43.469,3.059,21.1623,-28.808,21.1623,-28.808,LKW/UKW,"Two thin, medium-dark grey micrite beds",mid platform,limestone,limestone,platform,2,2.2,"pyrite framboids, sedimentary fabric",local,anoxic,3,dysoxic,2,#888B90,water column; bottom water,Bond et al 2004,,
"Le Serre, France",Euramerica-Western Europe,,17,43.888,2.65,20.6815,-28.5162,20.6815,-28.5162,LKW/UKW,darker grey colour and consists ofmassive homoctenid packstones grading up into wackestones,outer platform,limestone,shale,platform,2,2.2,"pyrite framboids, sedimentary fabric",local,dysoxic,2,anoxic,3,white,water column; bottom water,Bond et al 2004,,
"Wolayer Glacier, Carniac Alps",Euramerica-Western Europe,,18,46.611,12.869,29.3786,-27.1532,29.3786,-27.1532,LKW/UKW,thick bedded limestone,outer platform,limestone,limestone,platform,2,2.2,"pyrite framboids, sedimentary fabric",local,oxic,1,oxic,1,black,water column; bottom water,Bond et al 2005,,
"Panlong, Guangxi",Central-East Asia,Rongxian formaton,19,23.492,-109.715,-66.8593,-30.43,-66.8593,-30.43,LKW/UKW,thinly bedded laminated limestone,offshore  carbonate platform,N/A,limeone,platform,2,2.2,"d34Spyrite, Fe",local,N/A,#N/A,oxic,1,white,bottom,Cui et al 2021,https://doi.org/10.1016/j.earscirev.2021.103651,
"Cinquefoil Mountain, Alberta Canada",Euramerica-North America,Jasper Basin,20,53.213,-118.212,-46.3761,-7.9379,-46.3761,-7.9379,UKW,,upper-slope carbonate (paleo depth 50 m),N/A,siltstone,basin,5,5.2,whole rock d34S,local,N/A,#N/A,anoxic,3,white,bottom,Wang et al 1996 (Geology),https://doi.org/10.1130/0091-7613(1996)024<0187:CASIAA>2.3.CO;2,
"Medicine Lake, Alberta Canada",Euramerica-North America,Jasper Basin,21,52.858,-117.761,-46.5139,-8.3635,-46.5139,-8.3635,UKW,,basinal sediments (~150 m water),N/A,siltstone,basin,5,5.2,whole rock d34S,local,N/A,#N/A,anoxic,3,#5C5858,bottom,,,
"James Bay Lowlands, Ontario",Euramerica-North Europe,Long Rapids Formation,22,51.219,-80.574,-25.3635,-24.6608,-25.3635,-24.6608,UKW,alternating green mudstone and black shale beds,slope,N/A,dark shale,distal slope,4,4.2,"pyrite, sedimentary fabric, d15N, ",local,N/A,#N/A,anoxic,3,#5C5858,water column; bottom water,Levman and Bitter,https://cdnsciencepub.com/doi/abs/10.1139/e02-073,
"roche Miette , Alberta, Canada",Euramerica-North America,Jasper Basin,23,53.256,-117.363,-43.5229,-10.4183,-43.5229,-10.4183,UKW,,"reef margin, continental basin",N/A,limestone,basin,5,5.2,"sedimentary facies, Th/U, pyrite framboids",local,N/A,#N/A,dysoxic,2,#888B90,water column; bottom water,Bond et al 2013,https://doi.org/10.1111/let.12014,
"Lake Huron, Ontario",Euramerica-North America,Kettle Point Formation,24,43.18,-82.018,-29.257,-32.0008,-29.257,-32.0008,UKW,) (organic-rich) black shales and (ii) (organic-poor) greyish green mudstones,basin,N/A,dark shale,basin,5,5.2,"sulfur isotopes, sedimentary facies",local,N/A,#N/A,anoxic,3,#5C5858,bottom,Bingham-Koslowski 2016,https://doi.org/10.1139/cjes-2015-0227,
State Chester core,Euramerica-North America,"Antrim shale formation, Michigan basin",25,45.909,-84.5,-30.0621,-28.8236,-30.0621,-28.8236,LKW/UKW,alternating green mudstone and black shale beds(LKW)/grey shlae (UKW),basin margin,dark shale,grey shale,distal slope,4,4.2,"iron minerals, sulfur isotopes, trace element, Mo/TOC",local,euxinc,#N/A,anoxic,3,#5C5858,water column,Formolo et al 2014,https://doi.org/10.1016/j.palaeo.2014.08.024,
Consumers Power core,Euramerica-North America,"Antrim shale formation, Michigan basin",26,44.571,-84.582,-30.696,-30.0435,-30.696,-30.0435,LKW/UKW,alternating green mudstone and black shale beds(LKW)/grey shlae (UKW),center basin,dark shale,dark shale,basin,5,5.2,"iron minerals, sulfur isotopes, trace element",local,euxinic,4,anoxic,3,#5C5858,water column,Formolo et al 2014,https://doi.org/10.1016/j.palaeo.2014.08.024,
"Walnut Creek, New York",Euramerica-North America,Appalachian basin,27,42.48,-79.18,-27.1629,-33.31,-27.1629,-33.31,UKW,,basin ,N/A,dark shale,basin,5,5.2,"d15N, DOP",local,N/A,#N/A,euxinic,4,black,water column,Tuite and Macko 2013,https://doi.org/10.1130/G34549.1,
"Hony, Belgium",Euramerica-North America,Dinant basin,28,50.549,5.578,5.6451,-20.6271,5.6451,-20.6271,UKW,olive green to grey shale/ black shale,outer shelf under fair weather wave base,N/A,dark shale,proximal slope,3,3.2,"trace element, REE",local,N/A,#N/A,dysoxic,2,white,bottom,Claeys et al 1996,,
Yangdi,South China,Xiangtian Formation,29,24.967,110.368,107.8736,-0.8841,107.8736,-0.8841,LKW/UKW,light gray thick-bedded nodular limestone with intercalated thin-bedded limestone,periplatform slope intraplatoform basin ,limestone,limestone,proximal slope,3,3.2,d15N,local,oxic,1,dysoxic,2,white,water column,Cao et al 2022,https://doi.org/10.1016/j.palaeo.2021.110797,
"Sinsin, Belgium",Euramerica-North America,Namur-Dinant Basin,30,50.276,5.236,5.6033,-20.9742,5.6033,-20.9742,UKW,marlstones and mudstones interbedded sporadically with limestones,basin margin,N/A,limestone,distal slope,4,4.2,"d15N, ostracods",local,N/A,#N/A,dysoxic,2,#888B90,water column,"Percival et al 2022, Casier 2017",https://doi.org/10.1029/2021GC010308,
