Latitude,deoxygenation,cooling,m1,m2,m3,m4,m5
-75,85,15,50,32.5,67.5,60.5,
-70,80,20,50,35,65,59,
-65,73,27,50,38.5,61.5,56.9,
-60,70,30,50,40,60,56,
-55,68,32,50,41,59,55.4,
-50,67,33,50,41.5,58.5,55.1,
-45,61,39,50,44.5,55.5,53.3,
-40,56,44,50,47,53,51.8,
-35,50,50,50,50,50,50,
-30,49,51,50,50.5,49.5,49.7,
-25,45,55,50,52.5,47.5,48.5,
-20,43,57,50,53.5,46.5,47.9,
-15,43,57,50,53.5,46.5,47.9,
-10,40,60,50,55,45,47,
-5,42,58,50,54,46,47.6,
0,44,56,50,53,47,48.2,
5,46,54,50,52,48,48.8,
10,50,50,50,50,50,50,
15,55,45,50,47.5,52.5,51.5,
20,61,39,50,44.5,55.5,53.3,
25,67,33,50,41.5,58.5,55.1,
30,70,30,50,40,60,56,
35,72,28,50,39,61,56.6,
40,82,18,50,34,66,59.6,
45,74,26,50,38,62,57.2,
50,76,24,50,37,63,57.8,
55,78,22,50,36,64,58.4,
60,78,22,50,36,64,58.4,
65,85,15,50,32.5,67.5,60.5,
70,95,5,50,27.5,72.5,63.5,
75,95,5,50,27.5,72.5,63.5,
