pO2,PO4,mscore,State,pCO2,efolding (m),globe_avg_temp (C),dissolved_O2_sur (molkg-1x1E6),file,benthic_anoxia
1.2,0.5,0.069040101,Background,10,0.5,26.68,159.4692294,250109.pO2xPO4_5x5a.dat.40,0.0
1.1,0.5,0.069066691,Background,10,0.5,26.68,144.5160742,250109.pO2xPO4_5x5a.dat.30,0.0
1.0,0.5,0.06909934,Background,10,0.5,26.68,129.9221476,250109.pO2xPO4_5x5a.dat.20,0.0
0.9,0.5,0.069140504,Background,10,0.5,26.68,115.9043168,250109.pO2xPO4_5x5a.dat.10,0.0
0.8,0.5,0.069194242,Background,10,0.5,26.68,102.7115577,250109.pO2xPO4_5x5a.dat.00,0.0
1.2,0.6,0.070913833,Background,10,0.5,26.68,182.2131744,250109.pO2xPO4_5x5a.dat.41,0.0
1.1,0.6,0.070962993,Background,10,0.5,26.68,167.2402577,250109.pO2xPO4_5x5a.dat.31,0.0
1.0,0.6,0.07102651,Background,10,0.5,26.68,152.576511,250109.pO2xPO4_5x5a.dat.21,0.0
0.9,0.6,0.074001889,Background,10,0.5,26.68,138.319665,250109.pO2xPO4_5x5a.dat.11,0.0
0.8,0.6,0.069169601,Background,10,0.5,26.68,124.6912434,250109.pO2xPO4_5x5a.dat.01,0.09
1.2,0.7,0.075396391,Background,10,0.5,26.68,204.9571049,250109.pO2xPO4_5x5a.dat.42,0.0
1.1,0.7,0.074973947,Background,10,0.5,26.68,189.9808121,250109.pO2xPO4_5x5a.dat.32,0.09
1.0,0.7,0.070749683,Background,10,0.5,26.68,175.2609387,250109.pO2xPO4_5x5a.dat.22,0.09
0.9,0.7,0.0733141,Background,10,0.5,26.68,160.8799939,250109.pO2xPO4_5x5a.dat.12,0.18
0.8,0.7,0.046781744,Background,10,0.5,26.68,147.0044954,250109.pO2xPO4_5x5a.dat.02,0.55
1.2,0.8,0.071792935,Background,10,0.5,26.68,227.7010062,250109.pO2xPO4_5x5a.dat.43,0.09
1.1,0.8,0.074289711,Background,10,0.5,26.68,212.7246553,250109.pO2xPO4_5x5a.dat.33,0.18
1.0,0.8,0.043785502,Background,10,0.5,26.68,197.9688968,250109.pO2xPO4_5x5a.dat.23,0.55
0.9,0.8,0.023270508,Background,10,0.5,26.68,183.5335133,250109.pO2xPO4_5x5a.dat.13,0.73
0.8,0.8,0.033260788,Background,10,0.5,26.68,169.4634557,250109.pO2xPO4_5x5a.dat.03,1.1
1.2,0.9,0.050199964,Background,10,0.5,26.68,250.444893,250109.pO2xPO4_5x5a.dat.44,0.55
1.1,0.9,0.02880502,Background,10,0.5,26.68,235.4685857,250109.pO2xPO4_5x5a.dat.34,0.73
1.0,0.9,0.006147045,Background,10,0.5,26.68,220.6958306,250109.pO2xPO4_5x5a.dat.24,0.82
0.9,0.9,0.114272279,Background,10,0.5,26.68,206.2118438,250109.pO2xPO4_5x5a.dat.14,1.1
0.8,0.9,0.137966098,Background,10,0.5,26.68,192.0415525,250109.pO2xPO4_5x5a.dat.04,1.74
1.2,0.5,0.016517032,Kellwasser,10,0.5,26.68,159.4692294,250109.pO2xPO4_5x5a.dat.40,0.0
1.1,0.5,0.016522398,Kellwasser,10,0.5,26.68,144.5160742,250109.pO2xPO4_5x5a.dat.30,0.0
1.0,0.5,0.016528918,Kellwasser,10,0.5,26.68,129.9221476,250109.pO2xPO4_5x5a.dat.20,0.0
0.9,0.5,0.016537201,Kellwasser,10,0.5,26.68,115.9043168,250109.pO2xPO4_5x5a.dat.10,0.0
0.8,0.5,0.016548183,Kellwasser,10,0.5,26.68,102.7115577,250109.pO2xPO4_5x5a.dat.00,0.0
1.2,0.6,0.017315231,Kellwasser,10,0.5,26.68,182.2131744,250109.pO2xPO4_5x5a.dat.41,0.0
1.1,0.6,0.017326049,Kellwasser,10,0.5,26.68,167.2402577,250109.pO2xPO4_5x5a.dat.31,0.0
1.0,0.6,0.017340147,Kellwasser,10,0.5,26.68,152.576511,250109.pO2xPO4_5x5a.dat.21,0.0
0.9,0.6,0.017371611,Kellwasser,10,0.5,26.68,138.319665,250109.pO2xPO4_5x5a.dat.11,0.0
0.8,0.6,0.018081508,Kellwasser,10,0.5,26.68,124.6912434,250109.pO2xPO4_5x5a.dat.01,0.09
1.2,0.7,0.018126883,Kellwasser,10,0.5,26.68,204.9571049,250109.pO2xPO4_5x5a.dat.42,0.0
1.1,0.7,0.018454418,Kellwasser,10,0.5,26.68,189.9808121,250109.pO2xPO4_5x5a.dat.32,0.09
1.0,0.7,0.01925091,Kellwasser,10,0.5,26.68,175.2609387,250109.pO2xPO4_5x5a.dat.22,0.09
0.9,0.7,0.019866211,Kellwasser,10,0.5,26.68,160.8799939,250109.pO2xPO4_5x5a.dat.12,0.18
0.8,0.7,0.021512352,Kellwasser,10,0.5,26.68,147.0044954,250109.pO2xPO4_5x5a.dat.02,0.55
1.2,0.8,0.02020009,Kellwasser,10,0.5,26.68,227.7010062,250109.pO2xPO4_5x5a.dat.43,0.09
1.1,0.8,0.020803063,Kellwasser,10,0.5,26.68,212.7246553,250109.pO2xPO4_5x5a.dat.33,0.18
1.0,0.8,0.022154109,Kellwasser,10,0.5,26.68,197.9688968,250109.pO2xPO4_5x5a.dat.23,0.55
0.9,0.8,0.023654615,Kellwasser,10,0.5,26.68,183.5335133,250109.pO2xPO4_5x5a.dat.13,0.73
0.8,0.8,0.024498445,Kellwasser,10,0.5,26.68,169.4634557,250109.pO2xPO4_5x5a.dat.03,1.1
1.2,0.9,0.022663106,Kellwasser,10,0.5,26.68,250.444893,250109.pO2xPO4_5x5a.dat.44,0.55
1.1,0.9,0.024144222,Kellwasser,10,0.5,26.68,235.4685857,250109.pO2xPO4_5x5a.dat.34,0.73
1.0,0.9,0.025680694,Kellwasser,10,0.5,26.68,220.6958306,250109.pO2xPO4_5x5a.dat.24,0.82
0.9,0.9,0.024980418,Kellwasser,10,0.5,26.68,206.2118438,250109.pO2xPO4_5x5a.dat.14,1.1
