,pO2,PO4,mscore,State,pCO2,efolding,globe_avg_temp,ben_anoxia
0,1.2,0.7,0.0,Kellwasser,10x,x0.5,17.051928,8.35
1,1.1,0.7,0.0,Kellwasser,10x,x0.5,18.181016,3.67
2,1.0,0.7,0.01,Kellwasser,10x,x0.5,21.441809,2.48
3,0.9,0.7,0.01,Kellwasser,10x,x0.5,24.058745,0.83
4,0.8,0.7,0.02,Kellwasser,10x,x0.5,25.607227,0.46
5,1.2,0.8,0.01,Kellwasser,10x,x0.5,26.699181,18.26
6,1.1,0.8,0.01,Kellwasser,10x,x0.5,,6.61
7,1.0,0.8,0.01,Kellwasser,10x,x0.5,,3.39
8,0.9,0.8,0.01,Kellwasser,10x,x0.5,,2.48
9,0.8,0.8,0.14,Kellwasser,10x,x0.5,,0.83
10,1.2,0.9,0.02,Kellwasser,10x,x0.5,,25.32
11,1.1,0.9,0.02,Kellwasser,10x,x0.5,,12.94
12,1.0,0.9,0.0,Kellwasser,10x,x0.5,,5.05
13,0.9,0.9,0.13,Kellwasser,10x,x0.5,,3.21
14,0.8,0.9,0.46,Kellwasser,10x,x0.5,,2.11
15,1.2,1.0,0.02,Kellwasser,10x,x0.5,,31.65
16,1.1,1.0,0.02,Kellwasser,10x,x0.5,,20.92
17,1.0,1.0,0.07,Kellwasser,10x,x0.5,,9.27
18,0.9,1.0,0.26,Kellwasser,10x,x0.5,,4.5
19,0.8,1.0,0.61,Kellwasser,10x,x0.5,,3.21
20,1.2,1.1,0.03,Kellwasser,10x,x0.5,,37.43
21,1.1,1.1,0.03,Kellwasser,10x,x0.5,,27.25
22,1.0,1.1,0.21,Kellwasser,10x,x0.5,,17.06
23,0.9,1.1,0.55,Kellwasser,10x,x0.5,,7.43
24,0.8,1.1,0.49,Kellwasser,10x,x0.5,,4.22
