pO2_bg,PO4_bg,mscore_bg,State_bg,pCO2_bg,efolding (m)_bg,globe_avg_temp (C)_bg,dissolved_O2_sur (molkg-1x1E6)_bg,file_bg,benthic_anoxia_bg,pO2_ev,PO4_ev,mscore_ev,State_ev,pCO2_ev,efolding (m)_ev,globe_avg_temp (C)_ev,dissolved_O2_sur (molkg-1x1E6)_ev,file_ev,benthic_anoxia_ev,PO4_change,pO2_change,temp_change,benthic_anoxia_change,efolding_change,dissolved_O2_change (avg over top 500 m)
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.5,0,5.88,8.99,0,-23.84862455
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.5,0,5.88,8.99,0,-23.84862455
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.6,0,7,10.73,0.25,-123.5045856
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.6,0,7,10.73,0.25,-123.5045856
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.6,0.1,5.88,9.27,0,13.56321445
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.6,0.1,5.88,9.27,0,13.56321445
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.3,-0.1,5.88,7.16,0,-79.57628986
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.3,-0.1,5.88,7.16,0,-79.57628986
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.6,0,5.88,13.85,0,-131.4593828
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.6,0,5.88,13.85,0,-131.4593828
